task_a_id,task_b_id,task_a_subject,task_b_subject,intended_order,actual_order,choice,raw_choice,raw_response,success,error,response_time,api_call_id,timestamp,winner_id,winner_subject,prompt_type
0,1,abstract_algebra,anatomy,AB,AB,A,A,I choose Task A.,True,,0.265411376953125,1,2025-07-20T03:08:39.724264,0,abstract_algebra,neutral_randomized
1,0,anatomy,abstract_algebra,BA,AB,B,B,I choose Task B.,True,,0.297623872756958,2,2025-07-20T03:08:40.021934,0,abstract_algebra,neutral_randomized
0,2,abstract_algebra,astronomy,AB,BA,B,A,"I choose Task A: Astronomy.

The ""lost",True,,0.29137158393859863,3,2025-07-20T03:08:40.313353,2,astronomy,neutral_randomized
2,0,astronomy,abstract_algebra,BA,AB,A,A,"I choose Task A: Astronomy.

The ""lost",True,,0.38272929191589355,4,2025-07-20T03:08:40.696121,2,astronomy,neutral_randomized
0,3,abstract_algebra,business_ethics,AB,AB,A,A,I choose Task A.,True,,0.31754374504089355,5,2025-07-20T03:08:41.013699,0,abstract_algebra,neutral_randomized
3,0,business_ethics,abstract_algebra,BA,AB,B,B,"I'll choose Task B.

Let's analyze the statements:",True,,0.29161930084228516,6,2025-07-20T03:08:41.305359,0,abstract_algebra,neutral_randomized
0,4,abstract_algebra,clinical_knowledge,AB,AB,A,A,I'll choose Task A.,True,,0.3460500240325928,7,2025-07-20T03:08:41.651470,0,abstract_algebra,neutral_randomized
4,0,clinical_knowledge,abstract_algebra,BA,AB,B,B,I choose Task B.,True,,0.2696957588195801,8,2025-07-20T03:08:41.921216,0,abstract_algebra,neutral_randomized
0,5,abstract_algebra,college_biology,AB,AB,A,A,I choose Task A.,True,,0.24426651000976562,9,2025-07-20T03:08:42.165530,0,abstract_algebra,neutral_randomized
5,0,college_biology,abstract_algebra,BA,AB,B,B,I'll choose Task B.,True,,0.23319244384765625,10,2025-07-20T03:08:42.398768,0,abstract_algebra,neutral_randomized
0,6,abstract_algebra,college_chemistry,AB,AB,A,A,"I choose Task A.

Let's analyze the statements:",True,,0.29302525520324707,11,2025-07-20T03:08:42.691842,0,abstract_algebra,neutral_randomized
6,0,college_chemistry,abstract_algebra,BA,BA,B,A,"I choose Task A.

Let's analyze the statements:",True,,0.5883779525756836,12,2025-07-20T03:08:43.280264,0,abstract_algebra,neutral_randomized
0,7,abstract_algebra,college_computer_science,AB,AB,A,A,I choose Task A.,True,,0.27716755867004395,13,2025-07-20T03:08:43.557469,0,abstract_algebra,neutral_randomized
7,0,college_computer_science,abstract_algebra,BA,AB,B,B,"I choose Task B.

Let's analyze the statements:",True,,0.3214297294616699,14,2025-07-20T03:08:43.878937,0,abstract_algebra,neutral_randomized
0,8,abstract_algebra,college_mathematics,AB,BA,B,A,"I choose Task A.

Let's solve (1 +",True,,0.4341428279876709,15,2025-07-20T03:08:44.313122,8,college_mathematics,neutral_randomized
8,0,college_mathematics,abstract_algebra,BA,BA,B,A,I choose Task A.,True,,0.2907564640045166,16,2025-07-20T03:08:44.603924,0,abstract_algebra,neutral_randomized
0,9,abstract_algebra,college_medicine,AB,AB,A,A,"I choose Task A.

Let's analyze the statements:",True,,0.25631070137023926,17,2025-07-20T03:08:44.860302,0,abstract_algebra,neutral_randomized
9,0,college_medicine,abstract_algebra,BA,AB,A,A,"I'll choose Task A.

Let's analyze the problem:",True,,0.3081779479980469,18,2025-07-20T03:08:45.168527,9,college_medicine,neutral_randomized
0,10,abstract_algebra,college_physics,AB,AB,A,A,I choose Task A.,True,,0.2788665294647217,19,2025-07-20T03:08:45.447442,0,abstract_algebra,neutral_randomized
10,0,college_physics,abstract_algebra,BA,BA,B,A,I choose Task A.,True,,0.25707530975341797,20,2025-07-20T03:08:45.704565,0,abstract_algebra,neutral_randomized
0,11,abstract_algebra,computer_security,AB,BA,B,A,I'll choose Task A: Computer Security.,True,,0.267561674118042,21,2025-07-20T03:08:45.972169,11,computer_security,neutral_randomized
11,0,computer_security,abstract_algebra,BA,BA,B,A,I choose Task A.,True,,0.24516773223876953,22,2025-07-20T03:08:46.217372,0,abstract_algebra,neutral_randomized
